1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40
1276, 1213, 1204, 1271, 1155, 1254, 1205, 1230, 1241, 1268, 1202, 1173, 1231, 1200, 1197, 1043, 882, 692, 415, 160, 90, 39, 27, 13, 16, 4, 16, 9, 13, 2, 6, 1, 1, 4, 1, 1, 2, 2, 1, 1
1247, 1207, 1222, 1320, 1241, 1256, 1277, 1323, 1240, 1253, 1273, 1206, 1263, 1292, 1250, 1122, 1084, 919, 731, 356, 195, 81, 45, 22, 17, 13, 7, 9, 3, 6, 6, 5, 4, 3, 0, 2, 0, 1, 0, 0
1245, 1226, 1264, 1221, 1166, 1160, 1280, 1235, 1175, 1223, 1193, 1196, 1213, 1251, 1267, 1155, 1033, 803, 583, 290, 145, 49, 30, 16, 20, 13, 10, 10, 9, 7, 3, 2, 3, 2, 4, 1, 1, 0, 0, 2
1229, 1200, 1201, 1175, 1200, 1294, 1262, 1164, 1211, 1232, 1141, 1184, 1242, 1182, 1058, 1021, 897, 614, 329, 142, 71, 43, 26, 11, 14, 18, 8, 9, 11, 3, 5, 6, 3, 2, 1, 0, 3, 0, 0, 2
1282, 1274, 1203, 1207, 1249, 1225, 1189, 1270, 1254, 1264, 1188, 1293, 1186, 1152, 1017, 1026, 854, 664, 374, 174, 101, 40, 24, 13, 11, 14, 7, 3, 5, 9, 3, 4, 6, 5, 4, 4, 1, 2, 2, 0
1282, 1264, 1251, 1148, 1142, 1179, 1142, 1155, 1213, 1193, 1195, 1220, 1183, 1247, 1179, 1198, 1125, 1017, 837, 563, 309, 122, 58, 34, 21, 18, 13, 5, 6, 7, 4, 5, 4, 2, 4, 4, 4, 0, 1, 0
1143, 1216, 1160, 1226, 1248, 1184, 1164, 1140, 1146, 1244, 1285, 1222, 1197, 1178, 1060, 1060, 900, 742, 534, 249, 95, 57, 38, 18, 11, 15, 13, 11, 10, 6, 4, 4, 0, 2, 2, 2, 1, 0, 0, 1
1254, 1231, 1297, 1243, 1242, 1131, 1228, 1132, 1188, 1153, 1234, 1116, 1086, 1096, 1053, 903, 729, 422, 212, 94, 50, 34, 21, 14, 15, 11, 12, 6, 1, 1, 6, 3, 3, 1, 5, 2, 2, 0, 0, 0
1194, 1284, 1223, 1244, 1145, 1183, 1194, 1285, 1177, 1219, 1198, 1183, 1167, 1191, 1088, 1125, 912, 734, 437, 252, 109, 49, 27, 21, 18, 12, 10, 8, 8, 5, 5, 4, 3, 3, 2, 3, 1, 0, 0, 2
1182, 1213, 1245, 1195, 1312, 1237, 1229, 1215, 1279, 1266, 1241, 1189, 1214, 1197, 1118, 1133, 955, 675, 413, 186, 88, 40, 13, 12, 7, 15, 15, 4, 9, 4, 7, 2, 4, 1, 2, 1, 2, 0, 1, 0
1224, 1255, 1288, 1248, 1135, 1223, 1237, 1247, 1188, 1226, 1208, 1197, 1163, 1152, 1043, 1031, 823, 576, 323, 136, 60, 28, 20, 15, 15, 8, 8, 5, 4, 5, 1, 3, 6, 5, 2, 2, 0, 1, 0, 0
1198, 1230, 1225, 1202, 1245, 1287, 1227, 1206, 1205, 1203, 1135, 1166, 1181, 1211, 1098, 1023, 853, 643, 397, 148, 83, 38, 19, 18, 10, 11, 10, 4, 10, 4, 3, 4, 5, 1, 1, 1, 2, 1, 0, 0
